23884,0.00146
23885,0.38314
23886,0.09663
23887,0.14611
23888,0.00091
23889,0.14611
23890,0.00209
23891,0.2
23892,0.0005
23893,0.01875
23894,0.00777
23895,0.04173
23896,0.05847
23897,0.03697
23898,0.10001
23899,0.04388
23900,0.02133
23901,0.00209
23902,0.02388
23903,0.00777
23904,0.03186
23905,0.00153
23906,0.01
23907,0.40035
23908,0.00577
23909,0.00468
23910,0.04808
23911,0.84865
23912,0.5171
23913,0.03448
23914,0.25514
23915,0.0071
23916,0.00056
23917,0.01411
23918,0.2033
23919,0.05209
23920,0.00777
23921,0.50007
23922,0.05807
23923,0.0006
23924,0.00683
23925,0.20941
23926,0.21904
23927,0.03787
23928,0.00447
23929,0.1
23930,0.04136
23931,0.01436
23932,0.08704
23933,0.00555
23934,0.01422
23935,0.33294
23936,0.33381
23937,0.00777
23938,0.00209
23939,0.20345
23940,0.00228
23941,0.01292
23942,0.18
23943,0.02086
23944,0.03105
23945,0.00777
23946,0.01
23947,0.10001
23948,0.04
23949,0.41743
23950,0.66781
23951,0.02572
23952,0.0023
23953,0.05
23954,0.03729
23955,0.00209
23956,0.20877
23957,0.50007
23958,0.03577
23959,0.0157
23960,0.15594
23961,0.01446
23962,0.03
23963,0.04535
23964,0.046
23965,0.01254
23966,0.012
23967,0.13907
23968,0.00647
23969,0.001
23970,0.03439
23971,0.00209
23972,0.00777
23973,0.41747
23974,0.20345
23975,0.00555
23976,0.08848
23977,0.03182
23978,0.05
23979,0.23005
23980,0.04187
23981,0.72855
23982,0.04751
23983,0.55092
23984,0.01149
23985,0.00044
23986,0.01244
23987,0.028
23988,0.00146
23989,0.00209
23990,0.00456
23991,0.00103
23992,0.78946
23993,0.00051
23994,0.0238
23995,0.00127
23996,0.00217
23997,0.00275
23998,0.00178
23999,0.00777
24000,0.00047
24001,0.02247
24002,0.09946
24003,0.00273
24004,0.00082
24005,0.0218
24006,0.19547
24007,0.00048
24008,0.00054
24009,0.02312
