2022-07-12 11:00:00+00:00,19625.041015625,19793.009765625,19616.3984375,19772.703125
2022-07-12 12:00:00+00:00,19770.232421875,19903.66796875,19770.232421875,19869.0390625
2022-07-12 13:00:00+00:00,19864.953125,19942.33984375,19852.97265625,19852.97265625
2022-07-12 14:00:00+00:00,19794.82421875,19899.388671875,19756.54296875,19899.388671875
2022-07-12 15:00:00+00:00,19900.9296875,19953.828125,19870.9453125,19871.458984375
2022-07-12 16:00:00+00:00,19876.32421875,19967.013671875,19876.32421875,19906.177734375
2022-07-12 17:00:00+00:00,19909.66796875,19909.66796875,19833.62109375,19883.89453125
2022-07-12 18:00:00+00:00,19879.15625,19879.15625,19734.150390625,19734.150390625
2022-07-12 19:00:00+00:00,19734.625,19734.625,19384.31640625,19456.8125
2022-07-12 20:00:00+00:00,19452.62109375,19516.828125,19422.927734375,19433.357421875
2022-07-12 21:00:00+00:00,19454.4140625,19500.28515625,19422.66796875,19422.66796875
2022-07-12 22:00:00+00:00,19368.939453125,19455.61328125,19362.796875,19376.8671875
2022-07-12 23:00:00+00:00,19385.517578125,19434.025390625,19316.208984375,19326.13671875
2022-07-13 00:00:00+00:00,19325.97265625,19418.43359375,19292.33203125,19418.43359375
2022-07-13 01:00:00+00:00,19418.5390625,19457.53515625,19412.56640625,19432.2421875
2022-07-13 02:00:00+00:00,19435.939453125,19514.521484375,19435.939453125,19514.521484375
2022-07-13 03:00:00+00:00,19512.513671875,19531.939453125,19472.97265625,19476.72265625
2022-07-13 04:00:00+00:00,19473.236328125,19512.70703125,19454.03515625,19483.041015625
2022-07-13 05:00:00+00:00,19478.251953125,19556.240234375,19455.033203125,19523.578125
2022-07-13 06:00:00+00:00,19524.775390625,19534.998046875,19482.80078125,19529.69140625
2022-07-13 07:00:00+00:00,19534.962890625,19725.216796875,19510.384765625,19704.1328125
2022-07-13 08:00:00+00:00,19706.5234375,19866.654296875,19683.791015625,19849.8046875
2022-07-13 09:00:00+00:00,19846.138671875,19873.330078125,19792.919921875,19793.900390625
2022-07-13 10:00:00+00:00,19795.919921875,19796.830078125,19722.60546875,19770.763671875
2022-07-13 11:00:00+00:00,19775.376953125,19832.318359375,19762.330078125,19821.853515625
2022-07-13 12:00:00+00:00,19832.41015625,19932.611328125,19093.572265625,19134.02734375
2022-07-13 13:00:00+00:00,19159.55078125,19285.46875,19029.39453125,19278.751953125
2022-07-13 14:00:00+00:00,19281.435546875,19600.1796875,19233.38671875,19590.09765625
2022-07-13 15:00:00+00:00,19585.0390625,19623.41015625,19420.46484375,19463.0703125
2022-07-13 16:00:00+00:00,19456.486328125,19582.97265625,19289.470703125,19582.97265625
2022-07-13 17:00:00+00:00,19599.974609375,19884.818359375,19599.974609375,19849.94921875
2022-07-13 18:00:00+00:00,19860.755859375,19860.755859375,19706.0234375,19807.251953125
2022-07-13 19:00:00+00:00,19823.560546875,19823.560546875,19661.580078125,19661.580078125
2022-07-13 20:00:00+00:00,19659.935546875,19693.677734375,19623.310546875,19659.623046875
2022-07-13 21:00:00+00:00,19660.61328125,19911.724609375,19657.947265625,19911.724609375
2022-07-13 22:00:00+00:00,19907.017578125,19954.353515625,19839.751953125,19845.537109375
2022-07-13 23:00:00+00:00,19844.3671875,20210.705078125,19844.3671875,20198.314453125
2022-07-14 00:00:00+00:00,20211.466796875,20306.697265625,20189.814453125,20301.798828125
2022-07-14 01:00:00+00:00,20298.54296875,20361.119140625,20242.912109375,20251.494140625
2022-07-14 02:00:00+00:00,20266.27734375,20276.21875,20203.337890625,20208.408203125
2022-07-14 03:00:00+00:00,20216.130859375,20332.38671875,20216.130859375,20220.8203125
2022-07-14 04:00:00+00:00,20221.865234375,20241.435546875,20093.84375,20093.84375
2022-07-14 05:00:00+00:00,20096.34765625,20187.29296875,20089.33984375,20098.62109375
2022-07-14 06:00:00+00:00,20102.681640625,20114.482421875,19964.87890625,20019.041015625
2022-07-14 07:00:00+00:00,20024.470703125,20028.728515625,19959.794921875,19984.2890625
2022-07-14 08:00:00+00:00,19980.97265625,20007.46875,19782.4375,19782.4375
2022-07-14 09:00:00+00:00,19781.646484375,19800.611328125,19729.9296875,19791.802734375
2022-07-14 10:00:00+00:00,19812.353515625,19827.07421875,19771.833984375,19781.37109375
2022-07-14 11:00:00+00:00,19791.109375,19801.0234375,19700.86328125,19753.83984375
2022-07-14 12:00:00+00:00,19756.1171875,19835.5703125,19728.505859375,19781.609375
2022-07-14 13:00:00+00:00,19787.380859375,19804.669921875,19689.2578125,19787.443359375
2022-07-14 14:00:00+00:00,19786.09375,19903.044921875,19708.669921875,19903.044921875
2022-07-14 15:00:00+00:00,19897.7578125,20375.361328125,19897.7578125,20360.259765625
2022-07-14 16:00:00+00:00,20360.990234375,20406.818359375,20209.75390625,20221.427734375
2022-07-14 17:00:00+00:00,20223.03515625,20665.775390625,20204.416015625,20665.775390625
2022-07-14 18:00:00+00:00,20684.97265625,20725.009765625,20645.189453125,20694.388671875
2022-07-14 19:00:00+00:00,20694.59765625,20789.89453125,20655.22265625,20669.671875
2022-07-14 20:00:00+00:00,20626.380859375,20640.40625,20549.330078125,20640.40625
2022-07-14 21:00:00+00:00,20648.76171875,20673.5078125,20482.513671875,20484.99609375
2022-07-14 22:00:00+00:00,20478.724609375,20535.435546875,20468.11328125,20507.578125
2022-07-14 23:00:00+00:00,20506.099609375,20581.869140625,20490.77734375,20568.53125
2022-07-15 00:00:00+00:00,20573.15625,20581.94140625,20430.9375,20432.291015625
