3.12833,0.873118,0.625403,0.209285,0.100243
5.61393,0.873034,0.625572,0.209349,0.100496
8.98114,0.87292,0.626935,0.209435,0.100839
9.31104,0.872909,0.627069,0.209443,0.100872
9.37361,0.872889,0.627094,0.209445,0.100878
13.1333,0.871736,0.628617,0.209541,0.101261
13.156,0.871729,0.630139,0.209542,0.101264
16.7508,0.870627,0.631595,0.209634,0.10163
16.7621,0.871388,0.631599,0.209634,0.101631
16.9157,0.871325,0.631662,0.209638,0.101646
18.0817,0.870847,0.632016,0.209668,0.101765
20.209,0.869976,0.632664,0.209722,0.101982
20.4763,0.869866,0.632745,0.209729,0.102023
20.6697,0.869787,0.632804,0.209734,0.102052
24.1905,0.868345,0.63423,0.209824,0.102589
24.4294,0.868308,0.634326,0.20983,0.102626
27.6999,0.867808,0.635651,0.209914,0.103124
28.1891,0.867733,0.635849,0.209927,0.103174
31.6473,0.8704315,0.63725,0.210015,0.103526
31.9488,0.8701074,0.637372,0.210023,0.103557
33.0351,0.86973985,0.637812,0.210051,0.103668
35.3615,0.8693673,0.638754,0.210051,0.103905
35.7084,0.86889605,0.638894,0.210051,0.10394
38.9278,0.8684216,0.639385,0.210052,0.104268
39.0643,0.86804285,0.639406,0.210052,0.104282
39.0757,0.8675123,0.639408,0.210052,0.104283
42.7671,0.86711295,0.639971,0.210052,0.104659
42.7898,0.86665865,0.639975,0.210052,0.104661
43.1994,0.8660722,0.640037,0.210052,0.104703
46.4813,0.86549985,0.641366,0.210053,0.105037
46.959,0.8649501,0.64156,0.210053,0.105085
47.9829,0.86436135,0.641974,0.210053,0.10519
50.1556,0.86377575,0.642854,0.210127,0.105411
50.1954,0.8632461,0.64287,0.210128,0.105415
50.7187,0.8626203,0.643082,0.210146,0.105468
53.8982,0.86205755,0.64437,0.210255,0.105792
53.9096,0.8614751,0.644375,0.210255,0.105793
54.4784,0.8607904,0.644605,0.210274,0.105851
57.601,0.86018795,0.645555,0.210381,0.106169
57.6238,0.8595858,0.645562,0.210382,0.106171
58.2324,0.8589965,0.645747,0.210402,0.106233
59.1993,0.8583415,0.645944,0.210435,0.106332
61.3209,0.85778445,0.646375,0.210543,0.106548
61.3835,0.8571568,0.646387,0.210547,0.106554
65.0351,0.8564697,0.647129,0.210733,0.106926
65.729,0.855842,0.64727,0.210768,0.106997
68.7379,0.8551763,0.648489,0.210922,0.107303
68.7493,0.85451235,0.648493,0.210922,0.107304
69.4887,0.85392275,0.648793,0.21096,0.10738
72.4634,0.8533399,0.649998,0.211112,0.107682
72.6113,0.85276495,0.650058,0.21112,0.107698
73.2484,0.8522159,0.650316,0.211152,0.107762
74.1584,0.8516263,0.650684,0.211199,0.107855
76.1776,0.8510358,0.651502,0.211199,0.108061
77.008,0.85048425,0.651838,0.211199,0.108145
79.8918,0.84989255,0.653006,0.211199,0.108439
80.0966,0.84931745,0.653089,0.211199,0.10846
80.7677,0.84883275,0.653361,0.2112,0.108528
84.5217,0.8482717,0.654503,0.2112,0.10891
84.5445,0.84770405,0.656025,0.2112,0.108913
87.3429,0.84714655,0.657158,0.211201,0.109198
88.3042,0.8466449,0.657548,0.211201,0.109295
89.1061,0.84609465,0.657872,0.211201,0.109377
91.0514,0.84565725,0.65866,0.2113,0.109575
91.0628,0.8452359,0.658665,0.211301,0.109576
91.3244,0.84489215,0.658771,0.211314,0.109603
92.0638,0.84445475,0.65907,0.211352,0.109678
94.7769,0.8440218,0.660169,0.21149,0.109954
95.8235,0.84358445,0.660593,0.211544,0.110061
102.228,0.84314905,0.661894,0.21187,0.110713
102.552,0.8427241,0.66196,0.211887,0.110746
103.32,0.8423152,0.662116,0.211926,0.110824
104.065,0.84193745,0.662343,0.211964,0.1109
107.074,0.8415552,0.663258,0.212067,0.111207
113.427,0.8412329,0.664549,0.212283,0.111854
113.78,0.84091475,0.664621,0.212295,0.111889
114.571,0.84060525,0.664782,0.212322,0.11197
115.282,0.84034185,0.665069,0.212346,0.112042
118.33,0.84008615,0.666304,0.212424,0.112353
121.265,0.8398611,0.667493,0.212499,0.112652
122.09,0.8396703,0.667827,0.212521,0.112708
125.844,0.83950655,0.668969,0.212617,0.112963
128.387,0.83939475,0.669999,0.212682,0.113136
129.604,0.839246,0.670492,0.212713,0.113218
130.235,0.8391064,0.670747,0.212729,0.113261
132.488,0.83898345,0.671659,0.212882,0.113414
133.363,0.8389161,0.672014,0.212942,0.113504
133.386,0.83887005,0.673536,0.212943,0.113506
139.603,0.83889405,0.673959,0.213366,0.114139
141.457,0.83892495,0.674085,0.213492,0.114328
143.715,0.8389607,0.674238,0.213607,0.114558
144.608,0.83900535,0.674299,0.213653,0.114618
147.083,0.83907925,0.674425,0.213779,0.114787
154.562,0.8391752,0.674807,0.214161,0.115295
154.938,0.83927215,0.674826,0.21418,0.11532
156.416,0.83937105,0.674902,0.214255,0.115421
159.567,0.8394766,0.675062,0.214469,0.115635
166.16,0.83957625,0.674839,0.214917,0.116083
167.639,0.83967085,0.674789,0.215018,0.116196
169.516,0.83976335,0.674726,0.215114,0.11634
170.773,0.83984635,0.674684,0.215178,0.116436
181.124,0.83992285,0.674158,0.215706,0.117227
182.598,0.8399973,0.674083,0.215781,0.117377
184.463,0.84007065,0.673988,0.215971,0.117567
185.709,0.84014025,0.673925,0.216098,0.117694
188.61,0.84020835,0.673851,0.216393,0.117989
190.083,0.8402765,0.673814,0.216543,0.118089
199.411,0.84033455,0.673578,0.217019,0.118723
199.832,0.84038895,0.673567,0.217041,0.118752
200.651,0.8404432,0.673547,0.217083,0.118794
